dish_1562688426,88,179,roasted potatoes,17,209,chicken apple sausage,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1561662054,292,145,pepper,0.300716,23,white rice,12.02864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1562008979,290,186,jalapenos,0.192961,219,lemon juice,1.543689,26,mixed greens,75.28157,84,garlic,3.00716,208,soy sauce,4.811456,212,millet,12.045051,219,lemon juice,3.011263,224,bok choy,12.02864,100,olive oil,11.442798,72,onions,6.022525,109,vinegar,3.011263,40,green beans,39,192,pork,84.200478,50,apple,15.056313,152,sugar,9.02148,141,salt,0.97784,223,parsley,0.752816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1560455030,103,195,cherry tomatoes,55,28,cucumbers,29,192,pork,115.776695,213,wheat berry,15.436893,95,cabbage,15.436893,145,pepper,0.385922,141,salt,0.192961,41,carrot,3.859223,84,garlic,1.543689,6,caesar salad,131,100,olive oil,0.771845,223,parsley,0.771845,81,mayonnaise,3.087379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558372433,143,194,deprecated,143,,,,159,baby carrots,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1563379132,119,166,chilaquiles,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1565640549,139,29,tomatoes,10.700637,222,cilantro,1.070064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1563207364,271,8,scrambled eggs,68,110,yam,50,100,olive oil,1.070064,225,mustard greens,21.401274,219,lemon juice,1.605096,72,onions,2.140127,28,cucumbers,10.700637,141,salt,0.133758,214,arugula,32.10191,186,jalapenos,1.070064,14,asparagus,34,164,lime,1.605096,160,mangos,10.700637,195,cherry tomatoes,10.700637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1561575474,183,141,salt,0.578431,154,eggplant,57.843136,182,grapes,30,87,egg whites,67,100,olive oil,6,181,sweet potato,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1550795690,131,50,apple,131,,,,179,roasted potatoes,60,7,cauliflower,64,100,olive oil,0.578431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1563216717,332,84,garlic,0.895277,20,squash,63.131935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1565972591,122,209,chicken apple sausage,122,,,,195,cherry tomatoes,4.476386,126,chicken breast,89.527718,33,spinach (raw),2.238193,94,parmesan cheese,2.238193,213,wheat berry,8.952772,100,olive oil,0.967048,217,thyme,0.223819,79,honeydew melons,30,141,salt,0.348654,24,broccoli,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1568649312,78,13,berries,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1550876012,207,25,chicken,120,34,cantaloupe,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1551565034,19,41,carrot,19,,,,5,potatoes,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1550860747,79,35,pineapple,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1566245398,230,100,olive oil,0.140073,164,lime,1.120585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
