dish_1561662216,300.794281,193,12.387489,28.21829,18.63397,"soy sauce, garlic, white rice, parsley, onions, brown rice, vinegar, apple, mixed greens, sugar, salt, lemon juice, olive oil, pork, bok choy, pepper, millet"
dish_1562688426,137.569992,88,8.256,5.19,10.297,"roasted potatoes, chicken apple sausage"
dish_1561662054,419.438782,292,23.838249,26.351543,25.910593,"pepper, white rice, mixed greens, garlic, soy sauce, millet, lemon juice, bok choy, olive oil, onions, vinegar, green beans, pork, apple, sugar, salt, parsley"
dish_1562008979,382.936646,290,22.224644,10.17357,35.345387,"jalapenos, lemon juice, pork, wheat berry, cabbage, pepper, salt, carrot, garlic, caesar salad, olive oil, parsley, mayonnaise"
dish_1560455030,20.59,103,0.148,4.625,0.956,"cherry tomatoes, cucumbers, baby carrots"
dish_1563379132,232.050003,119,14.28,14.28,10.591001,chilaquiles
dish_1565640549,45.482903,139,1.568471,7.043886,2.641478,"tomatoes, cilantro, olive oil, mustard greens, lemon juice, onions, cucumbers, salt, arugula, jalapenos, asparagus, lime, mangos, cherry tomatoes"
dish_1563207364,309.269989,271,13.774,30.657,15.01,"scrambled eggs, yam, grapes, egg whites, olive oil, sweet potato"
dish_1561575474,120.058434,183,4.966118,17.412746,2.990431,"salt, eggplant, roasted potatoes, cauliflower, olive oil"
dish_1550795690,68.119995,131,0.262,18.34,0.393,apple
dish_1563216717,246.007996,332,5.636517,16.284782,33.06871,"garlic, squash, cherry tomatoes, chicken breast, spinach (raw), parmesan cheese, wheat berry, olive oil, thyme, honeydew melons, salt, broccoli"
dish_1565972591,195.199997,122,12.2,3.66,17.08,chicken apple sausage
dish_1568649312,44.459999,78,0.234,10.92,0.546,berries
dish_1550876012,253.520004,207,4.455999,12.46,38.608002,"chicken, cantaloupe, potatoes"
dish_1551565034,7.79,19,0.038,1.9,0.171,carrot
dish_1550860747,39.5,79,0.079,10.27,0.395,pineapple
dish_1566245398,506.355377,230,31.183908,4.258222,49.023197,"olive oil, lime, salt, garlic, cauliflower, steak, roast chicken, wheat berry"
dish_1563381680,32.459999,6,2.52,0.084,2.22,bacon
dish_1562183096,41.18898,95,2.571043,3.28026,2.80497,"pepper, chard, blueberries, mushroom, vinegar, arugula, mustard, olive oil, walnuts, salt"
dish_1563476551,1116.391113,750,51.413692,74.705963,85.498482,"shallots, salmon, mushroom, ginger, squash, brownies, lemon juice, sour cream, lime, garlic, cheese pizza, wine, cream, brown rice, jalapenos, spinach (raw), beef, pasta, thyme, olive oil, broccoli, onions, zucchini, salt, cilantro, chili"
dish_1559844951,274.335999,122,17.906,22.792,9.784,"almonds, potatoes"
dish_1550778583,67.759995,88,0.088,14.96,1.76,potatoes
dish_1562963704,663.755798,479,28.423254,66.054832,35.921761,"radishes, bok choy, vinegar, salt, roasted potatoes, mixed greens, soy sauce, caesar salad, garlic, sugar, pepper, white rice, pork, rice noodles, cabbage, pizza, olive oil, carrot, green onions"
dish_1566417398,56.892494,46,5.357862,2.088042,0.792647,"mustard, vinegar, mixed greens, celery root, olive oil, salt, cherry tomatoes"
dish_1561739238,274.190002,257,9.785,37.556999,9.465,"egg whites, hash browns, berries, sweet potato"
dish_1562611680,326.888977,256,19.411798,24.775015,16.028036,"cilantro, garlic, olive oil, pepperoni pizza, lemon juice, onions, vinegar, blueberries, salt, caesar salad, steak, kale, jalapenos, spinach (raw), mustard, white rice, radishes, pineapple"
dish_1568144828,76.748177,152,4.168533,10.369692,1.329856,"salt, pepper, carrot, olive oil, olives, cherry tomatoes"
dish_1550708440,37.5,75,0.075,9.75,0.375,pineapple
dish_1551307090,171.550003,52,11.686,11.48,6.152,"potato chips, bacon, mushroom"
dish_1563468327,351.886047,483,9.768622,57.495316,12.099887,"yam, sweet potato, cottage cheese, pineapple, watermelon, olive oil, berries"
dish_1562862493,198.320007,134,14.74,2.144,13.400001,scrambled eggs
dish_1558549008,20.700001,115,0.23,4.485,1.035,cherry tomatoes
dish_1560453174,329.716248,256,18.145134,10.521854,32.1376,"basil, rosemary, carrot, olive oil, almonds, lemon juice, parsley, green beans, blueberries, chicken, pepper, salt, garlic, vinegar, zucchini, mustard, spinach (raw), thyme, wheat berry, squash"
dish_1551226363,17.15,49,0.196,3.43,1.176,broccoli
dish_1562691032,419.681702,415,22.039829,39.058826,17.94734,"berries, olive oil, pineapple, scrambled eggs, roasted potatoes, broccoli"
dish_1551374440,48.059998,54,0.162,12.42,0.594,banana
dish_1563824250,17.200001,43,0.043,3.87,0.473,onions
dish_1560543755,257.924927,264,8.887804,27.355255,17.404505,"green onions, chicken, cauliflower, green beans, spinach (raw), ginger, olive oil, roasted potatoes, mixed greens, carrot, broccoli, salt, white rice, vinegar, rice noodles, cabbage, radishes, soy sauce, garlic"
dish_1558549773,2.3,10,0.04,0.36,0.29,spinach (raw)
dish_1563822597,59.400002,176,2.170667,7.626667,4.106667,"broccoli, caesar salad, squash, zucchini"
dish_1551492561,357.932007,159,28.653,7.446,18.050001,"olives, mushroom, sausage"
dish_1566920365,490.421692,871,5.324439,41.393566,60.675976,"salsa, sweet potato, olive oil, egg whites"
dish_1563984242,402.117035,753,3.30239,36.819611,49.407761,"sweet potato, egg whites, pineapple, olive oil, cantaloupe"
dish_1551237016,92.5,37,5.55,0,9.62,beef
dish_1551489812,74.75,65,6.955,4.095,0.52,olives
dish_1558459276,102.699997,79,0.237,22.120001,2.133,white rice
dish_1560974707,55.025124,60,2.003546,7.088692,2.992605,"onions, spinach (raw), cherry tomatoes, tortilla chips, corn, cheese, salt, chili, tomatoes, garlic, lime, sour cream, black beans"
dish_1565119669,55.965,229,1.0305,10.842,3.2725,"kale, zucchini, chard, chayote squash"
dish_1566417516,385.402527,425,36.516472,23.505039,33.699574,"wheat berry, eggplant, cherry tomatoes, mixed greens, celery root, salt, mustard, garlic, olive oil, vinegar, chard, fish, chive, shallots, roasted potatoes, parsley, lemon juice"
dish_1558724031,358.710999,303,25.801001,25.789999,14.067,"cherry tomatoes, cantaloupe, almonds, cauliflower"
dish_1551494178,369.660004,230,14.521,36.071999,26.472002,"tortilla, chicken, olives"
dish_1551233434,27.23,104,0.292,5.182,2.334,"mushroom, cucumbers, broccoli"
dish_1551390304,39.650002,65,0.325,9.75,0.715,kiwi
dish_1558637393,739.968018,128,63.360001,29.056,28.672001,almonds
dish_1563393217,49.230003,228,0.467667,9.802668,2.865667,"zucchini, broccoli, squash, onions, cucumbers"
